vehicle_id,origin_id,KEY_CODE,destination_edge,lane_id,current_edge,speed_mps,pos_m,lane_length_m,distance_to_lane_end_m,near_lane_end,current_edge_closed,successor_count,open_successor_count,has_open_path_to_destination,layer
veh_full_origin_0085_0034,origin_0085,5439072914,11531#5,6527#3_1,6527#3,0.0,17.12,40.59,23.47,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0085_0037,origin_0085,5439072914,11531#5,:3746525689_6_0,:3746525689_6,0.0,11.1,19.88,8.78,True,False,1,1,True,intersection_blockage
veh_full_origin_0085_0040,origin_0085,5439072914,11531#5,6527#2_1,6527#2,0.0,38.48,50.74,12.26,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0085_0041,origin_0085,5439072914,11531#5,6527#5_0,6527#5,0.0,0.09,0.2,0.11,True,False,4,4,True,queue_behind_blockage
veh_full_origin_0085_0071,origin_0085,5439072914,11531#5,9338#3_0,9338#3,2.21,0.17,0.2,0.03,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0085_0090,origin_0085,5439072914,11531#5,9338#2_0,9338#2,0.0,1.49,5.58,4.09,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0085_0091,origin_0085,5439072914,11531#5,:9000000006053_0_1,:9000000006053_0,1.99,5.39,5.45,0.06,True,False,1,1,True,intersection_blockage
veh_full_origin_0085_0093,origin_0085,5439072914,11531#5,1484#0_1,1484#0,0.1,0.19,0.2,0.01,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0085_0095,origin_0085,5439072914,11531#5,9338#2_1,9338#2,0.0,1.49,5.58,4.09,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0090_0020,origin_0090,5439072941,11531#5,5235#1_0,5235#1,0.0,9.71,34.26,24.55,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0090_0021,origin_0090,5439072941,11531#5,5235#1_0,5235#1,0.0,2.21,34.26,32.05,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0090_0022,origin_0090,5439072941,11531#5,:1429735875_4_0,:1429735875_4,0.0,11.06,14.12,3.06,True,False,1,1,True,intersection_blockage
veh_full_origin_0093_0013,origin_0093,5439072944,11531#5,9120_0,9120,0.0,35.93,43.53,7.6,True,False,4,4,True,queue_behind_blockage
veh_full_origin_0108_0014,origin_0108,5439073912,11531#5,11012#1_0,11012#1,0.0,40.07,72.77,32.7,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0108_0015,origin_0108,5439073912,11531#5,11012#1_0,11012#1,0.0,32.57,72.77,40.2,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0108_0016,origin_0108,5439073912,11531#5,11012#1_0,11012#1,0.0,25.07,72.77,47.7,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0108_0017,origin_0108,5439073912,11531#5,11012#1_0,11012#1,0.0,17.57,72.77,55.2,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0108_0062,origin_0108,5439073912,11531#5,6214#1_0,6214#1,0.0,26.61,40.94,14.33,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0108_0065,origin_0108,5439073912,11531#5,6214#0_0,6214#0,0.0,97.02,100.08,3.06,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0109_0015,origin_0109,5439073913,11531#5,11012#1_0,11012#1,0.0,62.57,72.77,10.2,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0109_0026,origin_0109,5439073913,11531#5,5248#1_0,5248#1,0.0,19.31,24.16,4.85,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0110_0008,origin_0110,5439073914,11531#5,6527#2_1,6527#2,0.0,8.48,50.74,42.26,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0110_0021,origin_0110,5439073914,11531#5,6527#3_0,6527#3,0.0,35.02,40.59,5.57,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0110_0024,origin_0110,5439073914,11531#5,6527#2_0,6527#2,0.0,11.38,50.74,39.36,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0110_0031,origin_0110,5439073914,11531#5,9065#0_1,9065#0,0.0,6.22,13.72,7.5,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0110_0035,origin_0110,5439073914,11531#5,9120_0,9120,0.0,43.43,43.53,0.1,True,False,4,4,True,queue_behind_blockage
veh_full_origin_0110_0036,origin_0110,5439073914,11531#5,9120_0,9120,0.0,28.43,43.53,15.1,False,False,4,4,True,queue_behind_blockage
veh_full_origin_0110_0037,origin_0110,5439073914,11531#5,9120_0,9120,0.0,5.92,43.53,37.61,False,False,4,4,True,queue_behind_blockage
veh_full_origin_0110_0071,origin_0110,5439073914,11531#5,9120_0,9120,0.0,20.93,43.53,22.6,False,False,4,4,True,queue_behind_blockage
veh_full_origin_0110_0072,origin_0110,5439073914,11531#5,:3747375039_1_0,:3747375039_1,0.0,12.74,14.32,1.58,True,False,1,1,True,intersection_blockage
veh_full_origin_0111_0017,origin_0111,5439073921,11531#5,5235#2_0,5235#2,0.0,12.69,19.23,6.54,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0111_0018,origin_0111,5439073921,11531#5,5235#1_0,5235#1,1.73,33.94,34.26,0.32,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0112_0002,origin_0112,5439073922,11531#5,:1429735875_8_0,:1429735875_8,0.0,1.33,1.43,0.1,True,False,1,1,True,intersection_blockage
veh_full_origin_0114_0014,origin_0114,5439073924,11531#5,9065#0_1,9065#0,0.0,13.72,13.72,0.0,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0116_0005,origin_0116,5439073932,11531#5,11012#1_0,11012#1,0.0,10.07,72.77,62.7,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0116_0006,origin_0116,5439073932,11531#5,11012#1_0,11012#1,0.0,2.57,72.77,70.2,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0116_0007,origin_0116,5439073932,11531#5,11012#0_0,11012#0,0.0,39.72,44.47,4.75,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0116_0008,origin_0116,5439073932,11531#5,11012#0_0,11012#0,0.0,32.22,44.47,12.25,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0116_0009,origin_0116,5439073932,11531#5,11012#0_0,11012#0,0.0,24.72,44.47,19.75,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0116_0011,origin_0116,5439073932,11531#5,11012#2_0,11012#2,0.0,27.0,39.16,12.16,False,False,4,4,True,queue_behind_blockage
veh_full_origin_0116_0012,origin_0116,5439073932,11531#5,11012#2_0,11012#2,0.0,19.5,39.16,19.66,False,False,4,4,True,queue_behind_blockage
veh_full_origin_0116_0013,origin_0116,5439073932,11531#5,11012#0_0,11012#0,0.0,9.72,44.47,34.75,False,False,1,1,True,queue_behind_blockage
