KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001208001,T001208002,T001208003,T001208004,T001208005,T001208006,T001208007,T001208008,T001208009,T001208010,T001208011,T001208012,T001208013,T001208014,T001208015,T001208016,T001208017,T001208018,T001208019,T001208020,T001208021,T001208022,T001208023,T001208024,T001208025,T001208026,T001208027,T001208028,T001208029,T001208030,T001208031,T001208032,T001208033,T001208034,T001208035,T001208036,T001208037,T001208038,T001208039,T001208040,T001208041,T001208042,T001208043,T001208044,T001208045,T001208046,T001208047,T001208048,T001208049
,,,,　常住者（現住地による人口）　総数,　常住者（現住地による人口）　男,　常住者（現住地による人口）　女,　５年前の常住地が現住所　総数,　５年前の常住地が現住所　男,　５年前の常住地が現住所　女,　５年前の常住地が現住所以外　総数,　５年前の常住地が現住所以外　男,　５年前の常住地が現住所以外　女,　　５年前の常住地が自市区町村内　総数,　　５年前の常住地が自市区町村内　男,　　５年前の常住地が自市区町村内　女,　　５年前の常住地が自市内他区・県内他市区町村　総数,　　５年前の常住地が自市内他区・県内他市区町村　男,　　５年前の常住地が自市内他区・県内他市区町村　女,　　５年前の常住地が他県・国外　総数,　　５年前の常住地が他県・国外　男,　　５年前の常住地が他県・国外　女,　常住者（現住地による５歳以上人口）　総数,　常住者（現住地による５歳以上人口）　男,　常住者（現住地による５歳以上人口）　女,　５年前の常住地が現住所（５歳以上人口）　総数,　５年前の常住地が現住所（５歳以上人口）　男,　５年前の常住地が現住所（５歳以上人口）　女,　５年前の常住地が現住所以外（５歳以上人口）　総数,　５年前の常住地が現住所以外（５歳以上人口）　男,　５年前の常住地が現住所以外（５歳以上人口）　女,　　５年前の常住地が自市区町村内（５歳以上人口）　総数,　　５年前の常住地が自市区町村内（５歳以上人口）　男,　　５年前の常住地が自市区町村内（５歳以上人口）　女,　　５年前の常住地が自市内他区・県内他市区町村（５歳以上人口）　総数,　　５年前の常住地が自市内他区・県内他市区町村（５歳以上人口）　男,　　５年前の常住地が自市内他区・県内他市区町村（５歳以上人口）　女,　　５年前の常住地が他県・国外（５歳以上人口）　総数,　　５年前の常住地が他県・国外（５歳以上人口）　男,　　５年前の常住地が他県・国外（５歳以上人口）　女,　当地に常住する就業者・通学者　総数,　当地に常住する就業者数,　当地に常住する通学者数,　　自宅で従業　就業者数,　　自宅外の自市区町村で従業・通学　総数,　　自宅外の自市区町村で従業・通学　就業者数,　　自宅外の自市区町村で従業・通学　通学者数,　　自市内他区・県内他市区町村で従業・通学　総数,　　自市内他区・県内他市区町村で従業・通学　就業者数,　　自市内他区・県内他市区町村で従業・通学　通学者数,　　他県で従業・通学　総数,　　他県で従業・通学　就業者数,　　他県で従業・通学　通学者数
5339771912,0,,,29,14,15,28,14,14,1,0,1,1,0,1,0,0,0,0,0,0,28,13,15,27,13,14,1,0,1,1,0,1,0,0,0,0,0,0,18,18,0,2,7,7,0,6,6,0,2,2,0
5339771913,0,,,47,24,23,46,23,23,1,1,0,0,0,0,0,0,0,1,1,0,47,24,23,46,23,23,1,1,0,0,0,0,0,0,0,1,1,0,29,28,1,5,9,9,0,9,8,1,6,6,0
5339771914,0,,,23,12,11,22,12,10,1,0,1,0,0,0,0,0,0,1,0,1,21,11,10,20,11,9,1,0,1,0,0,0,0,0,0,1,0,1,12,11,1,4,3,3,0,1,1,0,4,3,1
5339771921,2,5339771922,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5339771922,1,,5339771921,42,16,26,34,12,22,8,4,4,7,3,4,1,1,0,0,0,0,41,16,25,34,12,22,7,4,3,6,3,3,1,1,0,0,0,0,25,19,6,1,9,9,0,8,3,5,6,6,0
5339771923,0,,,153,80,73,123,64,59,29,15,14,9,5,4,3,2,1,17,8,9,149,77,72,119,61,58,29,15,14,9,5,4,3,2,1,17,8,9,102,86,16,4,24,23,1,33,27,6,39,31,8
5339771924,0,,,116,54,62,109,51,58,7,3,4,2,1,1,0,0,0,5,2,3,113,53,60,107,50,57,6,3,3,2,1,1,0,0,0,4,2,2,70,59,11,4,21,16,5,20,19,1,23,18,5
5339771931,1,,5339771933,49,26,23,44,25,19,5,1,4,0,0,0,0,0,0,5,1,4,49,26,23,44,25,19,5,1,4,0,0,0,0,0,0,5,1,4,30,24,6,3,8,7,1,12,11,1,7,3,4
5339771932,0,,,23,13,10,18,9,9,5,4,1,4,3,1,1,1,0,0,0,0,23,13,10,18,9,9,5,4,1,4,3,1,1,1,0,0,0,0,14,13,1,1,5,5,0,3,3,0,5,4,1
5339771933,2,5339771931,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5339771934,0,,,365,189,176,258,130,128,102,55,47,36,22,14,33,17,16,33,16,17,347,181,166,249,127,122,96,52,44,33,19,14,31,17,14,32,16,16,195,177,18,9,54,51,3,56,46,10,69,64,5
5339771941,0,,,230,110,120,176,83,93,48,25,23,6,4,2,24,12,12,18,9,9,217,107,110,172,83,89,45,24,21,6,4,2,23,12,11,16,8,8,141,126,15,7,33,31,2,49,45,4,50,41,9
5339771942,0,,,195,91,104,172,76,96,23,15,8,11,7,4,4,3,1,8,5,3,187,86,101,166,73,93,21,13,8,10,6,4,4,3,1,7,4,3,104,95,9,4,30,29,1,23,20,3,47,42,5
5339771943,0,,,233,122,111,163,85,78,64,33,31,23,12,11,12,5,7,29,16,13,219,112,107,154,79,75,60,30,30,21,11,10,11,4,7,28,15,13,133,119,14,2,44,42,2,38,33,5,45,38,7
5339771944,0,,,266,135,131,218,111,107,44,22,22,12,5,7,6,4,2,26,13,13,254,131,123,207,107,100,43,22,21,12,5,7,6,4,2,25,13,12,158,147,11,15,40,38,2,42,35,7,51,49,2
5339772623,0,,,23,9,14,20,8,12,3,1,2,0,0,0,0,0,0,3,1,2,23,9,14,20,8,12,3,1,2,0,0,0,0,0,0,3,1,2,14,13,1,0,10,10,0,2,1,1,2,2,0
5339772724,2,5339772742,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5339772733,2,5339772743,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5339772734,2,5339772743,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5339772742,1,,5339772724,66,39,27,56,33,23,8,4,4,5,4,1,2,0,2,1,0,1,59,33,26,52,30,22,7,3,4,4,3,1,2,0,2,1,0,1,31,31,0,4,14,14,0,7,7,0,6,6,0
5339772743,1,,5339772733;5339772734,71,37,34,59,32,27,12,5,7,11,5,6,0,0,0,1,0,1,66,34,32,55,29,26,11,5,6,10,5,5,0,0,0,1,0,1,33,33,0,6,9,9,0,10,10,0,6,6,0
5339772744,0,,,112,53,59,96,46,50,16,7,9,10,5,5,3,1,2,3,1,2,106,47,59,93,43,50,13,4,9,8,3,5,3,1,2,2,0,2,75,68,7,7,29,26,3,21,18,3,16,15,1
5339772812,2,5339772813,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5339772813,1,,5339772812;5339772814,45,25,20,36,19,17,9,6,3,3,3,0,4,2,2,2,1,1,40,22,18,31,16,15,9,6,3,3,3,0,4,2,2,2,1,1,24,21,3,4,5,5,0,11,10,1,4,2,2
5339772814,2,5339772813,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5339772821,0,,,29,12,17,16,7,9,13,5,8,7,3,4,2,1,1,4,1,3,27,11,16,15,7,8,12,4,8,6,2,4,2,1,1,4,1,3,12,9,3,1,3,1,2,4,3,1,2,2,0
5339772822,2,5339772824,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5339772823,2,5339772824,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5339772824,1,,5339772822;5339772823,52,24,28,45,21,24,7,3,4,4,2,2,1,0,1,2,1,1,49,23,26,42,20,22,7,3,4,4,2,2,1,0,1,2,1,1,23,21,2,6,4,4,0,6,4,2,7,7,0
5339772831,0,,,214,112,102,172,88,84,42,24,18,25,12,13,6,5,1,11,7,4,209,110,99,169,86,83,40,24,16,24,12,12,6,5,1,10,7,3,140,115,25,7,28,26,2,56,40,16,44,37,7
5339772832,0,,,204,101,103,171,84,87,33,17,16,13,6,7,10,4,6,10,7,3,194,97,97,161,80,81,33,17,16,13,6,7,10,4,6,10,7,3,112,106,6,5,31,30,1,29,26,3,45,43,2
5339772833,0,,,260,138,122,243,129,114,17,9,8,7,2,5,4,3,1,6,4,2,257,138,119,240,129,111,17,9,8,7,2,5,4,3,1,6,4,2,158,122,36,1,37,33,4,57,39,18,59,45,14
5339772834,0,,,181,100,81,127,68,59,50,29,21,22,12,10,9,5,4,19,12,7,163,90,73,117,63,54,46,27,19,18,10,8,9,5,4,19,12,7,96,88,8,4,27,26,1,18,17,1,47,41,6
5339772841,0,,,123,63,60,115,61,54,8,2,6,1,0,1,0,0,0,7,2,5,121,62,59,113,60,53,8,2,6,1,0,1,0,0,0,7,2,5,68,64,4,11,18,17,1,19,17,2,19,18,1
5339772842,0,,,84,39,45,74,34,40,10,5,5,3,2,1,4,2,2,3,1,2,83,39,44,74,34,40,9,5,4,3,2,1,4,2,2,2,1,1,55,46,9,3,12,12,0,15,11,4,25,20,5
5339772843,0,,,361,186,175,223,113,110,132,68,64,36,20,16,33,14,19,63,34,29,335,172,163,211,109,102,121,60,61,32,17,15,30,12,18,59,31,28,198,177,21,12,50,48,2,57,45,12,75,69,6
5339772844,0,,,549,287,262,403,206,197,143,78,65,20,9,11,29,17,12,94,52,42,514,270,244,378,192,186,133,75,58,19,9,10,27,17,10,87,49,38,325,293,32,30,86,80,6,89,72,17,117,108,9
5339772911,0,,,63,33,30,60,32,28,3,1,2,0,0,0,3,1,2,0,0,0,59,30,29,56,29,27,3,1,2,0,0,0,3,1,2,0,0,0,27,25,2,5,4,4,0,10,10,0,7,5,2
5339772912,0,,,316,151,165,251,122,129,65,29,36,14,8,6,6,3,3,45,18,27,285,137,148,222,110,112,63,27,36,14,8,6,5,2,3,44,17,27,173,154,19,17,53,46,7,35,31,4,65,57,8
5339772913,0,,,10,6,4,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,10,6,4,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,2,1,1,0,4,2,2,0,0,0
5339772914,0,,,394,203,191,277,139,138,107,57,50,24,13,11,41,24,17,42,20,22,370,192,178,259,132,127,103,55,48,24,13,11,41,24,17,38,18,20,204,194,10,19,51,51,0,68,64,4,60,54,6
5339772921,0,,,632,304,328,539,263,276,91,40,51,43,18,25,9,4,5,39,18,21,597,287,310,507,248,259,89,39,50,42,17,25,9,4,5,38,18,20,321,285,36,5,84,82,2,82,65,17,145,128,17
5339772922,0,,,353,176,177,271,139,132,73,32,41,28,11,17,12,5,7,33,16,17,338,168,170,263,134,129,72,32,40,28,11,17,12,5,7,32,16,16,189,159,30,7,44,38,6,64,46,18,71,65,6
5339772923,0,,,343,164,179,264,123,141,78,40,38,20,9,11,16,8,8,42,23,19,321,153,168,247,116,131,74,37,37,19,8,11,15,7,8,40,22,18,179,153,26,8,41,35,6,61,45,16,66,62,4
5339772924,0,,,170,95,75,126,68,58,37,21,16,4,1,3,13,9,4,20,11,9,159,88,71,119,64,55,37,21,16,4,1,3,13,9,4,20,11,9,92,88,4,7,28,27,1,20,19,1,28,27,1
5339772931,0,,,348,170,178,293,144,149,54,25,29,7,4,3,11,3,8,36,18,18,331,162,169,282,139,143,49,23,26,6,3,3,11,3,8,32,17,15,181,166,15,14,51,45,6,38,34,4,72,68,4
5339772932,0,,,374,204,170,265,142,123,103,56,47,28,13,15,29,18,11,46,25,21,345,186,159,247,133,114,95,50,45,27,12,15,28,17,11,40,21,19,222,192,30,14,54,50,4,54,43,11,88,73,15
5339772933,0,,,624,317,307,487,245,242,126,66,60,38,19,19,20,11,9,68,36,32,601,305,296,475,240,235,118,61,57,34,17,17,19,10,9,65,34,31,353,314,39,8,104,96,8,81,68,13,138,125,13
5339772934,0,,,493,248,245,374,192,182,112,51,61,34,13,21,25,12,13,53,26,27,457,224,233,349,175,174,107,49,58,30,11,19,25,12,13,52,26,26,266,245,21,14,76,73,3,66,56,10,102,95,7
5339772941,0,,,406,226,180,210,105,105,168,100,68,36,18,18,41,24,17,91,58,33,368,203,165,190,95,95,163,99,64,35,17,18,41,24,17,87,58,29,215,201,14,3,63,62,1,62,57,5,73,65,8
