origin_id,KEY_CODE,vehicle_kind,origin_edge,origin_edge_first_closure_sec,not_arrived_count,type3_count,type4_count,current_edge_closed_count,current_edge_min_first_closure_sec
origin_0093,5439072944,rescue_car,9377#4,21600,1,1,0,0,
origin_0095,5439073524,private_car,10375#0,,1,0,0,0,
origin_0096,5439073532,private_car,5302#1,,1,0,0,0,
origin_0099,5439073542,rescue_car,5343#22,9948,1,1,0,0,
origin_0101,5439073544,private_car,5303#19,9948,1,0,0,0,
origin_0102,5439073621,rescue_car,6672,9948,1,0,1,0,
origin_0103,5439073623,private_car,5325#15,9948,1,0,0,0,
origin_0103,5439073623,rescue_car,5325#15,9948,1,0,1,0,
origin_0104,5439073633,rescue_car,5325#14,9948,1,1,0,0,
origin_0110,5439073914,rescue_car,9721#21,21600,1,1,0,0,
origin_0111,5439073921,private_car,9186,21600,1,0,0,0,
origin_0116,5439073932,private_car,11033,21600,1,0,0,0,
origin_0118,5439073941,rescue_car,5338,,1,1,0,0,21600
origin_0129,5439074722,rescue_car,10950,,1,0,1,0,
origin_0132,5439074911,private_car,5389#1,11780,1,0,0,0,
origin_0136,5439074921,private_car,5430#1,9948,1,0,0,0,21600
origin_0137,5439074923,private_car,5427#1,11780,1,0,0,0,
origin_0142,5439074941,private_car,10959#2,9948,1,0,0,0,
origin_0143,5439074943,private_car,6543,,1,0,0,0,
origin_0146,5439075533,rescue_car,5657#0,6284,1,1,0,1,789
origin_0160,5439075913,private_car,6543,,1,0,0,0,
origin_0162,5439075931,rescue_car,5695#1,,1,1,0,0,
origin_0165,5439075941,private_car,5729#3,8116,1,0,0,0,
origin_0167,5439076523,rescue_car,5847#4,,1,0,1,1,789
origin_0173,5439076642,rescue_car,12720#8,,1,0,1,1,789
origin_0178,5439076913,private_car,5821#0,8116,1,0,0,0,
origin_0179,5439076931,rescue_car,11837,6284,1,1,0,0,
origin_0196,5439077923,private_car,6338#5,,1,0,0,0,
origin_0308,5439173524,rescue_car,3077#4,,1,1,0,0,
origin_0313,5439173613,private_car,7687#1,9948,1,0,0,0,
origin_0315,5439173622,private_car,7184#2,,1,0,0,0,
origin_0318,5439173631,rescue_car,4992#3,,1,1,0,0,
origin_0321,5439173641,rescue_car,7240#0,,1,0,1,0,
origin_0338,5439174311,private_car,11735#10,21600,1,0,0,0,
origin_0341,5439174512,private_car,8593#2,,1,0,0,0,
origin_0341,5439174512,rescue_car,8593#2,,1,1,0,0,
origin_0349,5439174543,private_car,7310#8,21600,1,0,0,0,
origin_0351,5439174611,private_car,3687#3,,1,0,0,0,
origin_0355,5439174632,private_car,7407#1,,1,0,0,0,
origin_0357,5439174642,private_car,7409#0,,1,0,0,0,
origin_0366,5439175514,rescue_car,4165#2,21600,1,1,0,0,
origin_0379,5440003011,private_car,9709#16,21600,1,0,0,0,
origin_0384,5440003024,rescue_car,9427#2,21600,1,0,1,0,
origin_0389,5440003141,private_car,9439#0,21600,1,0,0,0,
origin_0392,5440004021,private_car,11488,11780,1,0,0,0,
origin_0398,5440005032,private_car,5704#1,11780,1,0,0,0,
origin_0401,5440006011,private_car,9457#0,,1,0,0,0,
origin_0404,5440007021,private_car,129#6,8116,1,0,0,0,
