origin_id,type3_total,type3_arrived,type3_completion_rate,type4_total,type4_arrived,type4_completion_rate,type4_minus_type3_completion_rate
origin_0151,1,1,1.0,1,1,1.0,0.0
origin_0152,1,1,1.0,0,0,,
origin_0153,2,0,0.0,1,1,1.0,1.0
origin_0154,1,1,1.0,1,1,1.0,0.0
origin_0155,2,2,1.0,0,0,,
origin_0157,1,1,1.0,0,0,,
origin_0158,7,5,0.714286,1,1,1.0,0.285714
origin_0159,4,2,0.5,0,0,,
origin_0160,3,3,1.0,2,2,1.0,0.0
origin_0161,4,4,1.0,2,2,1.0,0.0
origin_0162,10,9,0.9,3,3,1.0,0.1
origin_0163,12,12,1.0,3,3,1.0,0.0
origin_0164,7,7,1.0,3,3,1.0,0.0
origin_0165,2,2,1.0,1,1,1.0,0.0
origin_0167,1,1,1.0,1,0,0.0,-1.0
origin_0168,1,1,1.0,0,0,,
origin_0169,2,2,1.0,1,1,1.0,0.0
origin_0170,1,1,1.0,0,0,,
origin_0171,1,1,1.0,0,0,,
origin_0173,1,1,1.0,1,0,0.0,-1.0
origin_0174,2,2,1.0,1,1,1.0,0.0
origin_0175,2,2,1.0,1,1,1.0,0.0
origin_0176,17,17,1.0,7,7,1.0,0.0
origin_0177,5,3,0.6,1,1,1.0,0.4
origin_0178,2,2,1.0,0,0,,
origin_0179,2,1,0.5,0,0,,
origin_0180,1,1,1.0,0,0,,
origin_0181,1,1,1.0,1,1,1.0,0.0
origin_0184,2,2,1.0,1,1,1.0,0.0
origin_0185,1,1,1.0,0,0,,
origin_0186,1,1,1.0,0,0,,
origin_0187,2,2,1.0,1,1,1.0,0.0
origin_0188,2,2,1.0,2,2,1.0,0.0
origin_0189,3,3,1.0,0,0,,
origin_0190,2,2,1.0,1,1,1.0,0.0
origin_0192,1,1,1.0,1,1,1.0,0.0
origin_0193,2,2,1.0,1,1,1.0,0.0
origin_0194,1,1,1.0,1,1,1.0,0.0
origin_0195,2,2,1.0,1,1,1.0,0.0
origin_0196,1,1,1.0,0,0,,
origin_0197,3,3,1.0,1,1,1.0,0.0
origin_0198,1,1,1.0,0,0,,
origin_0200,1,1,1.0,0,0,,
origin_0201,1,1,1.0,1,1,1.0,0.0
origin_0203,1,1,1.0,7,7,1.0,0.0
origin_0204,1,1,1.0,1,1,1.0,0.0
origin_0205,1,1,1.0,0,0,,
origin_0206,1,1,1.0,0,0,,
origin_0207,1,1,1.0,0,0,,
origin_0208,1,1,1.0,1,1,1.0,0.0
origin_0210,3,3,1.0,1,1,1.0,0.0
origin_0211,1,1,1.0,1,1,1.0,0.0
origin_0212,1,1,1.0,0,0,,
origin_0214,4,4,1.0,1,1,1.0,0.0
origin_0215,1,1,1.0,1,1,1.0,0.0
origin_0216,1,1,1.0,0,0,,
origin_0217,3,3,1.0,2,2,1.0,0.0
origin_0218,3,3,1.0,1,1,1.0,0.0
origin_0219,1,1,1.0,0,0,,
origin_0221,1,1,1.0,0,0,,
origin_0222,1,1,1.0,1,1,1.0,0.0
origin_0223,4,4,1.0,2,2,1.0,0.0
origin_0224,1,1,1.0,0,0,,
