origin_id,KEY_CODE,type3_vehicle_count,type3_arrived_count,type3_completion_rate,type4_vehicle_count,type4_arrived_count,type4_completion_rate,type34_vehicle_count,type34_arrived_count,type34_completion_rate,assigned_type4_share,population_type4_share,type4_minus_type3_completion_rate
origin_0330,5439173921,5,5,1.0,3,3,1.0,8,8,1.0,0.375,0.333333,0.0
origin_0332,5439174112,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.375,0.0
origin_0333,5439174113,2,2,1.0,0,0,,2,2,1.0,0.0,0.2,
origin_0334,5439174143,2,2,1.0,0,0,,2,2,1.0,0.0,0.2,
origin_0335,5439174144,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0336,5439174221,1,1,1.0,0,0,,1,1,1.0,0.0,0.5,
origin_0337,5439174232,2,2,1.0,0,0,,2,2,1.0,0.0,0.25,
origin_0338,5439174311,4,4,1.0,1,1,1.0,5,5,1.0,0.2,0.25,0.0
origin_0339,5439174312,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.3,0.0
origin_0340,5439174321,5,5,1.0,1,1,1.0,6,6,1.0,0.166667,0.230769,0.0
origin_0341,5439174512,2,1,0.5,0,0,,2,1,0.5,0.0,0.0,
origin_0342,5439174513,4,2,0.5,0,0,,4,2,0.5,0.0,0.0,
origin_0343,5439174514,2,2,1.0,0,0,,2,2,1.0,0.0,0.0,
origin_0344,5439174522,11,9,0.818182,1,1,1.0,12,10,0.833333,0.083333,0.107143,0.181818
origin_0345,5439174523,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.25,0.0
origin_0346,5439174524,6,6,1.0,0,0,,6,6,1.0,0.0,0.066667,
origin_0347,5439174532,6,6,1.0,1,1,1.0,7,7,1.0,0.142857,0.176471,0.0
origin_0348,5439174533,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
origin_0349,5439174543,5,5,1.0,0,0,,5,5,1.0,0.0,0.1,
origin_0350,5439174544,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0351,5439174611,7,5,0.714286,2,2,1.0,9,7,0.777778,0.222222,0.190476,0.285714
origin_0352,5439174612,6,6,1.0,2,2,1.0,8,8,1.0,0.25,0.222222,0.0
origin_0353,5439174621,2,2,1.0,0,0,,2,2,1.0,0.0,0.25,
origin_0354,5439174622,9,7,0.777778,3,2,0.666667,12,9,0.75,0.25,0.275862,-0.111111
origin_0355,5439174632,6,4,0.666667,2,2,1.0,8,6,0.75,0.25,0.222222,0.333333
origin_0356,5439174641,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.222222,0.0
origin_0357,5439174642,2,2,1.0,0,0,,2,2,1.0,0.0,0.25,
origin_0358,5439174714,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.285714,0.0
origin_0359,5439174724,4,4,1.0,2,2,1.0,6,6,1.0,0.333333,0.285714,0.0
origin_0360,5439174813,3,3,1.0,0,0,,3,3,1.0,0.0,0.0,
origin_0361,5439174941,11,11,1.0,4,4,1.0,15,15,1.0,0.266667,0.264706,0.0
origin_0362,5439175114,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0363,5439175311,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0364,5439175321,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0365,5439175513,6,6,1.0,1,1,1.0,7,7,1.0,0.142857,0.125,0.0
origin_0366,5439175514,3,2,0.666667,0,0,,3,2,0.666667,0.0,0.142857,
origin_0367,5439175522,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0368,5439175541,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0369,5439175611,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.333333,0.0
origin_0372,5439176813,0,0,,1,1,1.0,1,1,1.0,1.0,1.0,
origin_0375,5440002031,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.375,0.0
origin_0376,5440002032,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.333333,0.0
origin_0378,5440002042,1,1,1.0,0,0,,1,1,1.0,0.0,0.5,
origin_0380,5440003013,0,0,,1,1,1.0,1,1,1.0,1.0,0.666667,
origin_0381,5440003021,4,4,1.0,1,1,1.0,5,5,1.0,0.2,0.181818,0.0
origin_0382,5440003022,1,1,1.0,0,0,,1,1,1.0,0.0,0.5,
origin_0384,5440003024,3,3,1.0,1,0,0.0,4,3,0.75,0.25,0.333333,-1.0
origin_0385,5440003043,0,0,,1,1,1.0,1,1,1.0,1.0,1.0,
origin_0387,5440003122,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.5,0.0
origin_0388,5440003131,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0389,5440003141,1,1,1.0,0,0,,1,1,1.0,0.0,0.5,
origin_0390,5440003142,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.285714,0.0
origin_0392,5440004021,2,2,1.0,0,0,,2,2,1.0,0.0,0.25,
origin_0393,5440004023,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
origin_0394,5440004031,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0396,5440004043,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0397,5440005023,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0398,5440005032,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0399,5440005033,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
origin_0400,5440005042,1,1,1.0,0,0,,1,1,1.0,0.0,0.5,
origin_0401,5440006011,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0402,5440006022,2,2,1.0,0,0,,2,2,1.0,0.0,0.25,
origin_0403,5440007011,2,2,1.0,0,0,,2,2,1.0,0.0,0.25,
origin_0404,5440007021,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
