origin_id,KEY_CODE,type3_vehicle_count,type3_arrived_count,type3_completion_rate,type4_vehicle_count,type4_arrived_count,type4_completion_rate,type34_vehicle_count,type34_arrived_count,type34_completion_rate,assigned_type4_share,population_type4_share,type4_minus_type3_completion_rate
origin_0074,5439072624,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0076,5439072641,2,1,0.5,0,0,,2,1,0.5,0.0,0.25,
origin_0079,5439072644,2,2,1.0,0,0,,2,2,1.0,0.0,0.2,
origin_0080,5439072834,13,12,0.923077,5,5,1.0,18,17,0.944444,0.277778,0.292683,0.076923
origin_0081,5439072844,2,1,0.5,1,1,1.0,3,2,0.666667,0.333333,0.285714,0.5
origin_0082,5439072911,9,9,1.0,5,5,1.0,14,14,1.0,0.357143,0.333333,0.0
origin_0083,5439072912,3,3,1.0,3,3,1.0,6,6,1.0,0.5,0.428571,0.0
origin_0084,5439072913,15,15,1.0,7,7,1.0,22,22,1.0,0.318182,0.34,0.0
origin_0085,5439072914,11,11,1.0,6,6,1.0,17,17,1.0,0.352941,0.35,0.0
origin_0086,5439072923,7,7,1.0,4,4,1.0,11,11,1.0,0.363636,0.36,0.0
origin_0087,5439072924,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0088,5439072931,10,10,1.0,6,6,1.0,16,16,1.0,0.375,0.378378,0.0
origin_0089,5439072932,12,12,1.0,6,6,1.0,18,18,1.0,0.333333,0.357143,0.0
origin_0090,5439072941,11,11,1.0,3,3,1.0,14,14,1.0,0.214286,0.193548,0.0
origin_0091,5439072942,5,5,1.0,1,1,1.0,6,6,1.0,0.166667,0.153846,0.0
origin_0092,5439072943,7,7,1.0,4,4,1.0,11,11,1.0,0.363636,0.346154,0.0
origin_0093,5439072944,2,1,0.5,1,1,1.0,3,2,0.666667,0.333333,0.333333,0.5
origin_0094,5439073514,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0095,5439073524,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
origin_0096,5439073532,3,2,0.666667,2,1,0.5,5,3,0.6,0.4,0.333333,-0.166667
origin_0097,5439073533,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0098,5439073534,5,2,0.4,0,0,,5,2,0.4,0.0,0.1,
origin_0099,5439073542,2,1,0.5,0,0,,2,1,0.5,0.0,0.2,
origin_0100,5439073543,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.222222,0.0
origin_0101,5439073544,3,3,1.0,2,2,1.0,5,5,1.0,0.4,0.363636,0.0
origin_0102,5439073621,4,4,1.0,2,1,0.5,6,5,0.833333,0.333333,0.307692,-0.5
origin_0103,5439073623,1,1,1.0,1,0,0.0,2,1,0.5,0.5,0.4,-1.0
origin_0104,5439073633,3,2,0.666667,1,1,1.0,4,3,0.75,0.25,0.222222,0.333333
origin_0105,5439073644,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.5,0.0
origin_0106,5439073741,2,2,1.0,4,4,1.0,6,6,1.0,0.666667,0.692308,0.0
