scenario,run,seed,run_id,type3_total,type4_total,type3_arrived,type4_arrived,rescue_arrived_total,bus_arrived_raw,bus_arrived_conservative,raw_completion_rate,conservative_completion_rate,artifact_dir
A,A#1,23423,full_20260711T191419_ef66e154,,,,,,,,,,04_プログラム/output/sumo/regions/08211/results/archive_runs/20260711T195941145646_scenario_a_full
A,A#2,42,full_20260711T235922_9ba013a4,,,,,,,,,,04_プログラム/output/sumo/regions/08211/results/archive_runs/20260712T012902178968_scenario_a_full
A,A#3,1,full_20260712T012902_eb2450fd,,,,,,,,,,04_プログラム/output/sumo/regions/08211/results/archive_runs/20260712T021000000000_scenario_a_full_final_copy
A,A#4,7,full_20260721T120414_95df7a12,,,,,,,,,,04_プログラム/output/sumo/regions/08211/results/archive_runs/20260721T130033168479_scenario_a_full
B,B#1,23423,final_20260711T150850_e1acce90,,,,,,,,,,04_プログラム/output/sumo/regions/08211/results/archive_runs/20260711T160618065166_scenario_b_final
B,B#2,42,final_20260711T160622_13c0993f,,,,,,,,,,04_プログラム/output/sumo/regions/08211/results/archive_runs/20260711T165517055220_scenario_b_final
B,B#3,1,final_20260711T165523_571d8235,,,,,,,,,,04_プログラム/output/sumo/regions/08211/results/archive_runs/20260711T174220969443_scenario_b_final
B,B#4,7,final_20260711T174226_7deb9824,,,,,,,,,,04_プログラム/output/sumo/regions/08211/results/archive_runs/20260711T182720628459_scenario_b_final
B,B#5,101,final_20260711T182726_a69a01dd,,,,,,,,,,04_プログラム/output/sumo/regions/08211/results/archive_runs/20260712T101241222770_scenario_b_final
