city_code,city_name,scenario,vehicle_count,arrived_count,not_arrived_count,reroute_failed_count,long_stopped_count,departure_blocked_count,stranded_main_count,closure_event_count,final_closed_sumo_edge_count,vehicle_log,closure_log,congestion_log,summary,updated_at,run_id
08224,守谷市,small,18,18,0,0,0,0,0,8,848,output/sumo/regions/08224/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08224/results/scenario_a_small_closure_log.csv,output/sumo/regions/08224/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08224/results/scenario_a_small_traci_summary.json,2026-05-18T15:19:41,
08225,常陸大宮市,small,90,90,0,0,0,0,0,8,5168,output/sumo/regions/08225/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08225/results/scenario_a_small_closure_log.csv,output/sumo/regions/08225/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08225/results/scenario_a_small_traci_summary.json,2026-05-18T15:21:48,
08226,那珂市,small,24,24,0,0,0,0,0,8,32,output/sumo/regions/08226/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08226/results/scenario_a_small_closure_log.csv,output/sumo/regions/08226/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08226/results/scenario_a_small_traci_summary.json,2026-05-18T15:23:06,
08227,筑西市,small,526,526,0,0,0,0,0,8,12581,output/sumo/regions/08227/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08227/results/scenario_a_small_closure_log.csv,output/sumo/regions/08227/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08227/results/scenario_a_small_traci_summary.json,2026-05-18T15:26:07,
08228,坂東市,small,325,325,0,0,0,0,0,8,6166,output/sumo/regions/08228/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08228/results/scenario_a_small_closure_log.csv,output/sumo/regions/08228/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08228/results/scenario_a_small_traci_summary.json,2026-05-18T15:28:01,
08229,稲敷市,small,297,297,0,0,0,0,0,8,7677,output/sumo/regions/08229/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08229/results/scenario_a_small_closure_log.csv,output/sumo/regions/08229/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08229/results/scenario_a_small_traci_summary.json,2026-05-18T15:29:47,
08230,かすみがうら市,small,174,174,0,0,0,0,0,8,4611,output/sumo/regions/08230/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08230/results/scenario_a_small_closure_log.csv,output/sumo/regions/08230/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08230/results/scenario_a_small_traci_summary.json,2026-05-18T15:31:10,
08231,桜川市,small,255,255,0,0,0,0,0,8,5663,output/sumo/regions/08231/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08231/results/scenario_a_small_closure_log.csv,output/sumo/regions/08231/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08231/results/scenario_a_small_traci_summary.json,2026-05-18T15:32:50,
08233,行方市,small,3,3,0,0,0,0,0,8,64,output/sumo/regions/08233/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08233/results/scenario_a_small_closure_log.csv,output/sumo/regions/08233/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08233/results/scenario_a_small_traci_summary.json,2026-05-18T15:34:12,
08234,鉾田市,small,146,146,0,0,0,0,0,8,2514,output/sumo/regions/08234/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08234/results/scenario_a_small_closure_log.csv,output/sumo/regions/08234/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08234/results/scenario_a_small_traci_summary.json,2026-05-18T15:35:53,
08235,つくばみらい市,small,202,202,0,0,0,0,0,8,3757,output/sumo/regions/08235/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08235/results/scenario_a_small_closure_log.csv,output/sumo/regions/08235/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08235/results/scenario_a_small_traci_summary.json,2026-05-18T15:37:07,
08236,小美玉市,small,157,157,0,0,0,0,0,8,2272,output/sumo/regions/08236/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08236/results/scenario_a_small_closure_log.csv,output/sumo/regions/08236/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08236/results/scenario_a_small_traci_summary.json,2026-05-18T15:38:41,
08302,茨城町,small,227,227,0,0,0,0,0,8,5220,output/sumo/regions/08302/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08302/results/scenario_a_small_closure_log.csv,output/sumo/regions/08302/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08302/results/scenario_a_small_traci_summary.json,2026-05-18T15:39:58,
08309,大洗町,small,2,2,0,0,0,0,0,8,0,output/sumo/regions/08309/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08309/results/scenario_a_small_closure_log.csv,output/sumo/regions/08309/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08309/results/scenario_a_small_traci_summary.json,2026-05-18T15:40:19,
08310,城里町,small,186,186,0,0,0,0,0,8,12732,output/sumo/regions/08310/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08310/results/scenario_a_small_closure_log.csv,output/sumo/regions/08310/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08310/results/scenario_a_small_traci_summary.json,2026-05-18T15:41:34,
08364,大子町,small,203,203,0,0,0,0,0,8,11104,output/sumo/regions/08364/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08364/results/scenario_a_small_closure_log.csv,output/sumo/regions/08364/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08364/results/scenario_a_small_traci_summary.json,2026-05-18T15:43:13,
08442,美浦村,small,36,36,0,0,0,0,0,8,876,output/sumo/regions/08442/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08442/results/scenario_a_small_closure_log.csv,output/sumo/regions/08442/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08442/results/scenario_a_small_traci_summary.json,2026-05-18T15:43:44,
08443,阿見町,small,69,69,0,0,0,0,0,8,2295,output/sumo/regions/08443/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08443/results/scenario_a_small_closure_log.csv,output/sumo/regions/08443/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08443/results/scenario_a_small_traci_summary.json,2026-05-18T15:44:48,
08447,河内町,small,138,138,0,0,0,0,0,8,3178,output/sumo/regions/08447/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08447/results/scenario_a_small_closure_log.csv,output/sumo/regions/08447/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08447/results/scenario_a_small_traci_summary.json,2026-05-18T15:45:17,
08521,八千代町,small,208,208,0,0,0,0,0,8,5382,output/sumo/regions/08521/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08521/results/scenario_a_small_closure_log.csv,output/sumo/regions/08521/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08521/results/scenario_a_small_traci_summary.json,2026-05-18T15:46:20,
08542,五霞町,small,7,7,0,0,0,0,0,8,0,output/sumo/regions/08542/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08542/results/scenario_a_small_closure_log.csv,output/sumo/regions/08542/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08542/results/scenario_a_small_traci_summary.json,2026-05-18T15:46:43,
08546,境町,small,86,86,0,0,0,0,0,8,3058,output/sumo/regions/08546/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08546/results/scenario_a_small_closure_log.csv,output/sumo/regions/08546/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08546/results/scenario_a_small_traci_summary.json,2026-05-18T15:47:26,
