city_code,city_name,phase1_status,include_in_phase2_region,phase2_precheck_ready,a31a_sources,exclusion_reason,in_unified_manifest,scenario_html,scenario_data_js,scenario_app_js,scenario_style_css,network_graphml,network_edges_gpkg,network_summary_json,network_summary_nodes,network_summary_edges,phase1_scenario_dir,phase2_region_dir,expected_phase2_subdirs
08222,鹿嶋市,excluded_phase1,no,no,,対象外(沿岸・汽水域:河川洪水想定なし),no,no,no,no,no,no,no,no,,,output/scenario_cities/08222,output/sumo/regions/08222,output/sumo/regions/08222/network;output/sumo/regions/08222/derived;output/sumo/regions/08222/scenarios;output/sumo/regions/08222/results;output/sumo/regions/08222/viz
08223,潮来市,phase1_target,yes,yes,08_10,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08223,output/sumo/regions/08223,output/sumo/regions/08223/network;output/sumo/regions/08223/derived;output/sumo/regions/08223/scenarios;output/sumo/regions/08223/results;output/sumo/regions/08223/viz
08224,守谷市,phase1_target,yes,yes,08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08224,output/sumo/regions/08224,output/sumo/regions/08224/network;output/sumo/regions/08224/derived;output/sumo/regions/08224/scenarios;output/sumo/regions/08224/results;output/sumo/regions/08224/viz
08225,常陸大宮市,phase1_target,yes,yes,08_10+08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08225,output/sumo/regions/08225,output/sumo/regions/08225/network;output/sumo/regions/08225/derived;output/sumo/regions/08225/scenarios;output/sumo/regions/08225/results;output/sumo/regions/08225/viz
08226,那珂市,phase1_target,yes,yes,08_10+08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08226,output/sumo/regions/08226,output/sumo/regions/08226/network;output/sumo/regions/08226/derived;output/sumo/regions/08226/scenarios;output/sumo/regions/08226/results;output/sumo/regions/08226/viz
08227,筑西市,phase1_target,yes,yes,08_10+08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08227,output/sumo/regions/08227,output/sumo/regions/08227/network;output/sumo/regions/08227/derived;output/sumo/regions/08227/scenarios;output/sumo/regions/08227/results;output/sumo/regions/08227/viz
08228,坂東市,phase1_target,yes,yes,08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08228,output/sumo/regions/08228,output/sumo/regions/08228/network;output/sumo/regions/08228/derived;output/sumo/regions/08228/scenarios;output/sumo/regions/08228/results;output/sumo/regions/08228/viz
08229,稲敷市,phase1_target,yes,yes,08_10+08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08229,output/sumo/regions/08229,output/sumo/regions/08229/network;output/sumo/regions/08229/derived;output/sumo/regions/08229/scenarios;output/sumo/regions/08229/results;output/sumo/regions/08229/viz
08230,かすみがうら市,phase1_target,yes,yes,08_10+08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08230,output/sumo/regions/08230,output/sumo/regions/08230/network;output/sumo/regions/08230/derived;output/sumo/regions/08230/scenarios;output/sumo/regions/08230/results;output/sumo/regions/08230/viz
08231,桜川市,phase1_target,yes,yes,08_10+08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08231,output/sumo/regions/08231,output/sumo/regions/08231/network;output/sumo/regions/08231/derived;output/sumo/regions/08231/scenarios;output/sumo/regions/08231/results;output/sumo/regions/08231/viz
