timestamp,edge_id
2015-09-10T18:00:00,10554180795_8215549940_0
2015-09-10T18:00:00,11224417367_1429603185_0
2015-09-10T18:00:00,12810906272_1429517145_0
2015-09-10T18:00:00,12810906867_1429510020_0
2015-09-10T18:00:00,12810906867_6104655331_0
2015-09-10T18:00:00,12810906867_6126089021_0
2015-09-10T18:00:00,1429508216_1429603185_0
2015-09-10T18:00:00,1429508635_1429509052_0
2015-09-10T18:00:00,1429508635_1429509743_0
2015-09-10T18:00:00,1429508811_3747917525_0
2015-09-10T18:00:00,1429509052_1429508635_0
2015-09-10T18:00:00,1429509141_1429509819_0
2015-09-10T18:00:00,1429509533_1429509743_0
2015-09-10T18:00:00,1429509558_1429509787_0
2015-09-10T18:00:00,1429509743_1429508635_0
2015-09-10T18:00:00,1429509743_1429509533_0
2015-09-10T18:00:00,1429509787_1429509558_0
2015-09-10T18:00:00,1429509819_1429509141_0
2015-09-10T18:00:00,1429509819_1429510242_0
2015-09-10T18:00:00,1429509819_1429601767_0
2015-09-10T18:00:00,1429509862_1429510020_0
2015-09-10T18:00:00,1429509862_1429510242_0
2015-09-10T18:00:00,1429509862_8215549940_0
2015-09-10T18:00:00,1429510020_12810906867_0
2015-09-10T18:00:00,1429510020_1429509862_0
2015-09-10T18:00:00,1429510020_8867254163_0
2015-09-10T18:00:00,1429510234_1429510282_0
2015-09-10T18:00:00,1429510234_6104655331_0
2015-09-10T18:00:00,1429510234_8867254174_0
2015-09-10T18:00:00,1429510242_1429509819_0
2015-09-10T18:00:00,1429510242_1429509862_0
2015-09-10T18:00:00,1429510242_1429510581_0
2015-09-10T18:00:00,1429510282_1429510234_0
2015-09-10T18:00:00,1429510282_2087802537_0
2015-09-10T18:00:00,1429510282_8867254174_0
2015-09-10T18:00:00,1429510581_1429510242_0
2015-09-10T18:00:00,1429510581_1429510989_0
2015-09-10T18:00:00,1429510581_1429601768_0
2015-09-10T18:00:00,1429510989_1429510581_0
2015-09-10T18:00:00,1429511443_4623534403_0
2015-09-10T18:00:00,1429511893_4623534403_0
2015-09-10T18:00:00,1429517125_2133885462_0
2015-09-10T18:00:00,1429517143_1429517145_0
2015-09-10T18:00:00,1429517143_1429517742_0
2015-09-10T18:00:00,1429517145_12810906272_0
2015-09-10T18:00:00,1429517145_1429517143_0
2015-09-10T18:00:00,1429517145_1695391443_0
2015-09-10T18:00:00,1429517718_1429603198_0
2015-09-10T18:00:00,1429517742_1429517143_0
2015-09-10T18:00:00,1429517742_1429517970_0
2015-09-10T18:00:00,1429517742_2133885462_0
2015-09-10T18:00:00,1429517799_1429518247_0
2015-09-10T18:00:00,1429517799_2133885462_0
2015-09-10T18:00:00,1429517970_1429517742_0
2015-09-10T18:00:00,1429518247_1429517799_0
2015-09-10T18:00:00,1429518247_1429518253_0
2015-09-10T18:00:00,1429518247_1429518435_0
2015-09-10T18:00:00,1429518253_1429518247_0
2015-09-10T18:00:00,1429518435_1429518247_0
2015-09-10T18:00:00,1429518435_1429518539_0
2015-09-10T18:00:00,1429518435_1429519075_0
2015-09-10T18:00:00,1429518539_1429518435_0
2015-09-10T18:00:00,1429518971_2087802561_0
2015-09-10T18:00:00,1429519075_1429518435_0
2015-09-10T18:00:00,1429519075_1429519114_0
2015-09-10T18:00:00,1429519075_1429519676_0
