KEY_CODE,lon,lat,total_pop,elderly_pop
5439079744,139.9765625,36.084375,25,10
5439079812,139.9828125,36.078125,90,34
5439079814,139.9890625,36.078125,12,6
5439079822,139.9828125,36.08020833333333,17,5
5439079831,139.9796875,36.08229166666667,93,30
5439079912,139.9953125,36.078125,24,5
5439079913,139.9984375,36.078125,12,0
5439079922,139.9953125,36.08020833333333,41,10
5439079942,139.9953125,36.084375,35,8
5439170714,139.9765625,36.08645833333333,9,10
5439170724,139.9765625,36.08854166666667,16,0
5439170734,139.9765625,36.090625,74,23
5439170922,139.9953125,36.08854166666667,61,28
5439170941,139.9921875,36.092708333333334,76,30
5439171814,139.9890625,36.094791666666666,27,10
5439172823,139.9859375,36.10520833333334,12,0
5439172833,139.9859375,36.10729166666667,175,24
5439172834,139.9890625,36.10729166666667,139,29
5439172843,139.9859375,36.109375,62,23
5439172844,139.9890625,36.109375,39,3
5439172921,139.9921875,36.10520833333334,13,4
5439172941,139.9921875,36.109375,77,24
5439173744,139.9765625,36.11770833333333,164,72
5439173812,139.9828125,36.11145833333334,22,0
5439173814,139.9890625,36.11145833333334,226,28
5439173821,139.9796875,36.11354166666667,14,5
5439173822,139.9828125,36.11354166666667,3,0
5439173831,139.9796875,36.115625,107,28
5439173832,139.9828125,36.115625,46,10
5439173912,139.9953125,36.11145833333334,4,0
5439173921,139.9921875,36.11354166666667,118,40
5439173922,139.9953125,36.11354166666667,6,0
5439174714,139.9765625,36.11979166666667,48,15
5439174724,139.9765625,36.121875,90,26
5439174813,139.9859375,36.11979166666667,38,3
5439174941,139.9921875,36.126041666666666,223,59
5439175821,139.9796875,36.130208333333336,1,0
5439175921,139.9921875,36.130208333333336,4,0
5439176813,139.9859375,36.13645833333334,11,9
5439176912,139.9953125,36.13645833333334,3,0
