timestamp,KEY_CODE,total_pop,elderly_pop
2015-09-10T18:00:00,5439079822,17,5
2015-09-10T18:00:00,5439079942,35,8
2015-09-10T18:00:00,5439170922,61,28
2015-09-10T18:00:00,5439171814,27,10
2015-09-10T18:00:00,5439172823,12,0
2015-09-10T18:00:00,5439172833,175,24
2015-09-10T18:00:00,5439172834,139,29
2015-09-10T18:00:00,5439172921,13,4
2015-09-10T18:00:00,5439173822,3,0
2015-09-10T18:00:00,5439173831,107,28
2015-09-10T18:00:00,5439173832,46,10
2015-09-10T18:00:00,5439174714,48,15
2015-09-10T18:00:00,5439174813,38,3
2015-09-10T18:00:00,5439174941,223,59
2015-09-10T18:00:00,5439175821,1,0
2015-09-10T18:00:00,5439175921,4,0
2015-09-10T18:00:00,5439176912,3,0
2015-09-11T06:00:00,5439079822,17,5
2015-09-11T06:00:00,5439079942,35,8
2015-09-11T06:00:00,5439170922,61,28
2015-09-11T06:00:00,5439171814,27,10
2015-09-11T06:00:00,5439172823,12,0
2015-09-11T06:00:00,5439172833,175,24
2015-09-11T06:00:00,5439172834,139,29
2015-09-11T06:00:00,5439172921,13,4
2015-09-11T06:00:00,5439173822,3,0
2015-09-11T06:00:00,5439173831,107,28
2015-09-11T06:00:00,5439173832,46,10
2015-09-11T06:00:00,5439174714,48,15
2015-09-11T06:00:00,5439174813,38,3
2015-09-11T06:00:00,5439174941,223,59
2015-09-11T06:00:00,5439175821,1,0
2015-09-11T06:00:00,5439175921,4,0
2015-09-11T06:00:00,5439176912,3,0
2015-09-11T18:00:00,5439079822,17,5
2015-09-11T18:00:00,5439079942,35,8
2015-09-11T18:00:00,5439170922,61,28
2015-09-11T18:00:00,5439171814,27,10
2015-09-11T18:00:00,5439172823,12,0
2015-09-11T18:00:00,5439172833,175,24
2015-09-11T18:00:00,5439172834,139,29
2015-09-11T18:00:00,5439172921,13,4
2015-09-11T18:00:00,5439173822,3,0
2015-09-11T18:00:00,5439173831,107,28
2015-09-11T18:00:00,5439173832,46,10
2015-09-11T18:00:00,5439174714,48,15
2015-09-11T18:00:00,5439174813,38,3
2015-09-11T18:00:00,5439174941,223,59
2015-09-11T18:00:00,5439175821,1,0
2015-09-11T18:00:00,5439175921,4,0
2015-09-11T18:00:00,5439176912,3,0
2015-09-12T06:00:00,5439079822,17,5
2015-09-12T06:00:00,5439079942,35,8
2015-09-12T06:00:00,5439170922,61,28
2015-09-12T06:00:00,5439171814,27,10
2015-09-12T06:00:00,5439172823,12,0
2015-09-12T06:00:00,5439172833,175,24
2015-09-12T06:00:00,5439172834,139,29
2015-09-12T06:00:00,5439172921,13,4
2015-09-12T06:00:00,5439173822,3,0
2015-09-12T06:00:00,5439173831,107,28
2015-09-12T06:00:00,5439173832,46,10
2015-09-12T06:00:00,5439174714,48,15
2015-09-12T06:00:00,5439174813,38,3
2015-09-12T06:00:00,5439174941,223,59
2015-09-12T06:00:00,5439175821,1,0
2015-09-12T06:00:00,5439175921,4,0
2015-09-12T06:00:00,5439176912,3,0
2015-09-12T18:00:00,5439079822,17,5
2015-09-12T18:00:00,5439079942,35,8
2015-09-12T18:00:00,5439170922,61,28
2015-09-12T18:00:00,5439171814,27,10
2015-09-12T18:00:00,5439172823,12,0
2015-09-12T18:00:00,5439172833,175,24
2015-09-12T18:00:00,5439172834,139,29
2015-09-12T18:00:00,5439172921,13,4
2015-09-12T18:00:00,5439173822,3,0
2015-09-12T18:00:00,5439173831,107,28
2015-09-12T18:00:00,5439173832,46,10
2015-09-12T18:00:00,5439174714,48,15
2015-09-12T18:00:00,5439174813,38,3
2015-09-12T18:00:00,5439174941,223,59
2015-09-12T18:00:00,5439175821,1,0
2015-09-12T18:00:00,5439175921,4,0
2015-09-12T18:00:00,5439176912,3,0
2015-09-13T06:00:00,5439079822,17,5
2015-09-13T06:00:00,5439079942,35,8
2015-09-13T06:00:00,5439170922,61,28
2015-09-13T06:00:00,5439171814,27,10
2015-09-13T06:00:00,5439172823,12,0
2015-09-13T06:00:00,5439172833,175,24
2015-09-13T06:00:00,5439172834,139,29
2015-09-13T06:00:00,5439172921,13,4
2015-09-13T06:00:00,5439173822,3,0
2015-09-13T06:00:00,5439173831,107,28
2015-09-13T06:00:00,5439173832,46,10
2015-09-13T06:00:00,5439174714,48,15
2015-09-13T06:00:00,5439174813,38,3
2015-09-13T06:00:00,5439174941,223,59
2015-09-13T06:00:00,5439175821,1,0
2015-09-13T06:00:00,5439175921,4,0
2015-09-13T06:00:00,5439176912,3,0
2015-09-13T18:00:00,5439079822,17,5
2015-09-13T18:00:00,5439079942,35,8
2015-09-13T18:00:00,5439170922,61,28
2015-09-13T18:00:00,5439171814,27,10
2015-09-13T18:00:00,5439172823,12,0
2015-09-13T18:00:00,5439172833,175,24
2015-09-13T18:00:00,5439172834,139,29
2015-09-13T18:00:00,5439172921,13,4
2015-09-13T18:00:00,5439173822,3,0
2015-09-13T18:00:00,5439173831,107,28
2015-09-13T18:00:00,5439173832,46,10
2015-09-13T18:00:00,5439174714,48,15
2015-09-13T18:00:00,5439174813,38,3
2015-09-13T18:00:00,5439174941,223,59
2015-09-13T18:00:00,5439175821,1,0
2015-09-13T18:00:00,5439175921,4,0
2015-09-13T18:00:00,5439176912,3,0
2015-09-16T10:20:00,5439079822,17,5
2015-09-16T10:20:00,5439079942,35,8
2015-09-16T10:20:00,5439170922,61,28
2015-09-16T10:20:00,5439171814,27,10
2015-09-16T10:20:00,5439172823,12,0
2015-09-16T10:20:00,5439172833,175,24
2015-09-16T10:20:00,5439172834,139,29
2015-09-16T10:20:00,5439172921,13,4
2015-09-16T10:20:00,5439173822,3,0
2015-09-16T10:20:00,5439173831,107,28
2015-09-16T10:20:00,5439173832,46,10
2015-09-16T10:20:00,5439174714,48,15
2015-09-16T10:20:00,5439174813,38,3
2015-09-16T10:20:00,5439174941,223,59
2015-09-16T10:20:00,5439175821,1,0
2015-09-16T10:20:00,5439175921,4,0
2015-09-16T10:20:00,5439176912,3,0
